Title,Studio,Content Rating,Year,Rating,Summary,Genres,Release Date,Writers,Duration,Directors,Roles
Her,Annapurna Pictures,R,2013,7.8,"In the not so distant future, Theodore,
a lonely writer purchases a newly
developed operating system designed to
meet the user's every needs. To
Theordore's surprise, a romantic
relationship develops between him and
his operating system. This
unconventional love story blends science
fiction and romance in a sweet tale that
explores the nature of love and the ways
that technology isolates and connects us
all.",Romance - Science Fiction - Drama,10/12/2013,Spike Jonze,2:05:50,Spike Jonze,"Joaquin Phoenix - Scarlett Johansson -
Rooney Mara"
Hidden Figures,Fox 2000 Pictures,PG,2016,7.7,"The untold story of Katherine G.
Johnson, Dorothy Vaughan and Mary
Jackson – brilliant African-American
women working at NASA and serving as the
brains behind one of the greatest
operations in history – the launch of
astronaut John Glenn into orbit. The
visionary trio crossed all gender and
race lines to inspire generations to
dream big.",History - Drama,12/10/2016,Allison Schroeder - Theodore Melfi,2:06:43,Theodore Melfi,"Taraji P. Henson - Octavia Spencer -
Janelle Monae"
Hitman,Twentieth Century Fox Film Corporation,R,2007,5.9,"The best-selling videogame, Hitman,
roars to life with both barrels blazing
in this hardcore action-thriller
starring Timothy Olyphant. A genetically
engineered assassin with deadly aim,
known only as ""Agent 47"" eliminates
strategic targets for a top-secret
organization. But when he's double-
crossed, the hunter becomes the prey as
47 finds himself in a life-or-death game
of international intrigue.",Action - Crime - Drama,11/21/2007,Skip Woods,1:34:14,Xavier Gens,"Timothy Olyphant - Dougray Scott - Olga
Kurylenko"
"The Hobbit: The Battle of the Five
Armies",WingNut Films,PG-13,2014,7.1,"Immediately after the events of The
Desolation of Smaug, Bilbo and the
dwarves try to defend Erebor's mountain
of treasure from others who claim it:
the men of the ruined Laketown and the
elves of Mirkwood. Meanwhile an army of
Orcs led by Azog the Defiler is marching
on Erebor, fueled by the rise of the
dark lord Sauron. Dwarves, elves and men
must unite, and the hope for Middle-
Earth falls into Bilbo's hands.",Action - Adventure - Fantasy,12/17/2014,"Peter Jackson - Fran Walsh - Philippa
Boyens",2:24:29,Peter Jackson,"Martin Freeman - Ian McKellen - Richard
Armitage"
The Hobbit: The Desolation of Smaug,WingNut Films,PG-13,2013,7.6,"The Dwarves, Bilbo and Gandalf have
successfully escaped the Misty
Mountains, and Bilbo has gained the One
Ring. They all continue their journey to
get their gold back from the Dragon,
Smaug.",Adventure - Fantasy,12/13/2013,"Fran Walsh - Philippa Boyens - Peter
Jackson",2:41:17,Peter Jackson,"Martin Freeman - Ian McKellen - Richard
Armitage"
Hocus Pocus,Walt Disney Pictures,PG,1993,6.3,"After 300 years of slumber, three sister
witches are accidentally resurrected in
Salem on Halloween night, and it us up
to three kids and their newfound feline
friend to put an end to the witches'
reign of terror once and for all.",Comedy - Family - Fantasy,7/16/1993,Mick Garris - Neil Cuthbert,1:36:08,Kenny Ortega,"Bette Midler - Sarah Jessica Parker -
Kathy Najimy"
Home,Twentieth Century Fox Film Corporation,PG,2015,6.8,"When Earth is taken over by the overly-
confident Boov, an alien race in search
of a new place to call home, all humans
are promptly relocated, while all Boov
get busy reorganizing the planet. But
when one resourceful girl, Tip, manages
to avoid capture, she finds herself the
accidental accomplice of a banished Boov
named Oh. The two fugitives realize
there’s a lot more at stake than
intergalactic relations as they embark
on the road trip of a lifetime.",Fantasy - Comedy - Animation,3/27/2015,Tom J. Astle - Matt Ember,1:33:48,Tim Johnson,Jim Parsons - Rihanna - Steve Martin
Home Alone,Twentieth Century Fox Film Corporation,PG,1990,7,"Eight-year-old Kevin McCallister makes
the most of the situation after his
family unwittingly leaves him behind
when they go on Christmas vacation. But
when a pair of bungling burglars set
their sights on Kevin's house, the
plucky kid stands ready to defend his
territory. By planting booby traps
galore, adorably mischievous Kevin
stands his ground as his frantic mother
attempts to race home before.",Comedy - Family,11/9/1990,John Hughes,1:42:53,Chris Columbus,"Macaulay Culkin - Joe Pesci - Daniel
Stern"
Hoodwinked!,The Weinstein Company,PG,2005,5.9,"The recipes of candies of the goody
shops have been stolen by the Goody
Bandit, and many animals are out of
business. While the police are chasing
the criminal, there is a mess at
Granny's house evolving Little Red
Hiding Hood, The Wolf, The Woodsman and
Granny, disturbing the peace in the
forest and they are all arrested by the
impatient Chief Grizzly.",Animation - Comedy - Family,12/16/2005,Todd Edwards - Tony Leech - Cory Edwards,1:20:52,Cory Edwards - Todd Edwards - Tony Leech,"Anne Hathaway - Glenn Close - Jim
Belushi"
The Hooligan Factory,Think Big Productions,PG-13,2014,5.3,"Danny wants something more. Expelled
from school and living in his
grandfathers flat, he longs to live up
to the image of his estranged father
Danny Senior",Comedy,6/13/2014,Nick Nevern - Michael Lindley,1:29:46,Nick Nevern,Jason Maza - Nick Nevern - Tom Burke
